,raw predicted,after vertical,after swing,after horizontal,after correction LSTM,date,actual
186,176.15265,198.1638042,176.2015906,187.0296132,187.4799646,11/20/2020,186.66333
187,184.621,198.6532373,184.6728732,191.9914972,190.6243992,11/23/2020,191.33333
188,193.00015,190.0286568,193.0545787,193.7715797,192.814118,11/24/2020,191.33333
189,200.07211,190.2487173,200.1287417,191.995341,194.9874305,11/25/2020,194.92
190,204.3697,188.3577275,204.4279757,196.455116,196.1767562,11/27/2020,196.020835
191,205.167,189.6331682,205.226146,197.6497256,197.9416474,11/30/2020,197.066665
192,203.56702,196.1804301,203.6259058,199.7534024,199.7276432,12/1/2020,199.65666
193,201.51567,201.8403613,201.5741763,202.5247819,202.2174945,12/2/2020,201.49333
194,200.4973,212.3850175,200.5557178,205.6443801,205.6612457,12/3/2020,206.16667
195,201.35661,215.2564943,201.4154917,208.3561758,207.9708171,12/4/2020,208
196,203.99016,212.4774992,204.0504437,208.3829504,207.8760636,12/7/2020,208
197,207.47078,208.9128829,207.5323097,208.7661859,207.6616245,12/8/2020,208
198,210.46964,205.8042127,210.5322737,208.1107492,207.9098963,12/9/2020,207.93333
199,213.3015,205.7795857,213.365202,209.1085103,208.6745599,12/10/2020,209.315
200,215.54164,207.0962234,215.6062382,211.2573153,210.8745666,12/11/2020,211.08333
201,217.16826,212.1078511,217.2340213,214.6521474,213.6771885,12/14/2020,214.42667
202,217.88249,213.2503788,217.9486977,216.1814287,215.659454,12/15/2020,215.35667
203,218.50404,213.916121,218.5706656,214.994302,216.3309476,12/16/2020,216
204,220.11115,213.5750717,220.1784861,216.8609531,217.1000953,12/17/2020,216.62
205,222.69075,211.1140416,222.7591123,216.5547667,217.0932274,12/18/2020,216.62666
206,225.45364,210.5097456,225.5235581,217.6228808,218.2429793,12/21/2020,217.6541675
207,227.96248,214.6251622,228.0334083,220.755127,220.7397496,12/22/2020,220.9908325
208,229.94025,217.2490791,230.012031,224.3245811,223.8950812,12/23/2020,223.3
209,231.49144,224.2728985,231.5639494,227.1737098,227.9728704,12/24/2020,227.6450025
210,232.8406,236.8565177,232.9145084,234.9768399,233.9549122,12/28/2020,234.625
211,234.77089,245.4268329,234.845648,239.4531447,239.9733276,12/29/2020,239.82
212,238.22633,252.5037822,238.3024407,244.137012,245.2929628,12/30/2020,245.03667
213,243.36145,263.1485101,243.4394511,252.9438925,253.1221426,12/31/2020,252.83
214,249.72528,282.7638384,249.8063612,265.4153692,265.1430564,1/4/2021,265.488335
215,257.32104,296.1049851,257.4048594,275.9090584,275.7576494,1/5/2021,275.78
216,265.71674,298.3749569,265.8035616,280.9462454,281.4579968,1/6/2021,281.3150025
217,274.5107,292.5621836,274.6006967,283.1689709,283.4880403,1/7/2021,283.13333
218,282.7147,281.1369971,282.8076598,281.7026209,283.2132645,1/8/2021,281.66666
219,288.93164,274.7948503,289.027556,281.6728972,282.0888477,1/11/2021,281.51666
220,293.2489,272.6665521,293.3465551,283.1647268,281.4208782,1/12/2021,282.511665
221,295.5644,268.9145291,295.6631246,282.6775261,280.9407286,1/13/2021,281.66666
222,295.15088,269.2849172,295.2497806,281.2308043,281.077164,1/14/2021,281.66333
223,292.03946,274.0962727,292.1376223,282.7698529,281.8085302,1/15/2021,282.66666
224,287.8568,282.6888638,287.9547673,285.0412479,283.4983484,1/19/2021,285
225,283.8698,289.1187353,283.9667066,286.1480326,285.4269912,1/20/2021,286.22
226,281.1205,291.9462542,281.2167627,286.0361904,286.4619401,1/21/2021,286.22
227,280.4765,292.6166028,280.5728217,286.0224754,285.4996485,1/22/2021,286.22
228,281.86548,279.9853158,281.963156,280.3565099,282.0669855,1/25/2021,280.66666
229,283.5124,278.3588928,283.6109335,278.9004797,280.0237756,1/26/2021,280.66666
230,284.70175,277.196029,284.8010049,282.9897318,280.3819015,1/27/2021,280.66666
231,284.8705,278.798161,284.9701225,281.0274819,281.5655912,1/28/2021,281.56
232,283.8396,283.5081855,283.9391432,283.4823898,282.5155055,1/29/2021,283.4141625
233,282.41666,288.1342623,282.5165831,284.8365721,283.556713,2/1/2021,285
234,280.92676,289.4930041,281.0264497,284.4177034,284.3480032,2/2/2021,284.91666
235,279.27075,288.1463573,279.3701469,282.7502994,282.6979009,2/3/2021,283.4141625
236,277.84085,286.0686579,277.9400261,281.8239233,280.2726579,2/4/2021,281.66666
237,276.54633,277.2143624,276.6453267,276.7304125,276.6120677,2/5/2021,276.62668
238,274.9417,269.6623975,275.0409967,272.3584843,272.5502659,2/8/2021,272.04
239,272.68427,264.5425018,272.7830191,269.4239478,268.9301895,2/9/2021,268.3366675
240,269.78616,263.9608814,269.8841486,265.9930816,266.1840149,2/10/2021,266.61334
241,266.903,263.3874081,267.0002311,265.2028704,264.4500513,2/11/2021,264.89667
242,264.801,258.9181016,264.8977209,261.5546151,263.2163044,2/12/2021,261.60333
243,263.34998,255.4319431,263.4472683,258.8668668,259.038772,2/16/2021,259.12332
244,262.4335,235.4215632,262.5307295,250.4620973,249.7670995,2/17/2021,248.33333
245,261.3036,222.841721,261.4006696,238.8291696,242.2426014,2/18/2021,241.0866675
246,259.10413,214.560043,259.2006593,235.8820746,237.2763541,2/19/2021,235.56667
247,255.48793,213.4905524,255.5839143,233.5822891,234.484429,2/22/2021,233.33333
248,252.04372,218.3584435,252.1386689,234.6543133,233.7578057,2/23/2021,234.3825025
249,248.59673,213.2525492,248.6906381,232.452087,232.6853626,2/24/2021,230.03667
250,243.43492,214.8291244,243.5271374,227.0379225,229.952877,2/25/2021,228.475835
251,236.92245,213.0556152,237.0124506,225.2073169,226.0764524,2/26/2021,224.4666675
252,230.32243,195.7527168,230.4106416,212.6188364,213.7093194,3/1/2021,212.140835
253,223.74217,195.0010802,223.8280932,209.0724521,209.7527066,3/2/2021,208.68666
254,217.41548,200.6755221,217.4991993,209.5056767,210.9541743,3/3/2021,208.68666
255,212.23701,214.000156,212.3189595,212.5116951,215.6957708,3/4/2021,212.92167
256,208.95247,241.7040094,209.0333629,224.6127679,226.2397382,3/5/2021,224.52667
257,207.61993,251.8068673,207.7009607,228.2612121,229.6654043,3/8/2021,228.439165
258,208.88263,256.7333087,208.9643663,230.1286498,231.1208554,3/9/2021,231.36333
259,211.99518,252.9639072,212.0783538,232.4491818,230.5794585,3/10/2021,231.36333
260,216.5594,240.6890309,216.6445943,228.0906115,228.6111195,3/11/2021,228.09666
261,222.18707,230.5410369,222.2747097,225.8844582,225.9159299,3/12/2021,226.11833
262,228.14474,219.6785053,228.2354443,223.2551783,224.3107349,3/15/2021,223.66667
263,232.7469,213.8930506,232.8396738,221.8918314,223.9493708,3/16/2021,222.91667
264,235.5321,210.8330898,235.6262312,222.507248,223.3451743,3/17/2021,222.63667
265,235.6075,204.0791353,235.7019003,219.291466,220.2161884,3/18/2021,219.07666
266,233.07721,201.2084866,233.1708405,216.1261612,215.4557135,3/19/2021,216.35917
267,228.5728,193.4557779,228.6653351,209.6698065,211.0962892,3/22/2021,210.09
268,223.28621,195.4070973,223.3768368,206.6515925,208.7388856,3/23/2021,208.6908325
269,218.42842,199.7528974,218.5173044,210.2254287,208.8652731,3/24/2021,208.6908325
270,215.45944,210.0708469,215.5473417,212.2714234,212.5837677,3/25/2021,212.55333
271,214.41446,224.0357229,214.5021557,219.074376,219.2058256,3/26/2021,218.9716675
272,215.21384,236.0046968,215.3025323,225.2351347,225.6618939,3/29/2021,225.163335
273,217.73244,239.6793006,217.8223975,228.5205338,229.4569006,3/30/2021,228.23334
274,220.77525,237.9666319,220.8667007,228.4051646,230.1152842,3/31/2021,229
275,223.12009,233.2773062,223.2127376,228.1405336,229.2635783,4/1/2021,227.93333
276,224.48456,230.7012043,224.5787106,227.2253088,228.0443557,4/5/2021,227.36333
277,225.32501,230.9945632,225.4197518,228.0482082,227.4831013,4/6/2021,227.93333
278,225.93913,237.0461507,226.0343657,231.643148,229.7561177,4/7/2021,231.214165
279,227.39903,254.6878638,227.4951177,240.3377314,237.1618204,4/8/2021,240.43666
280,230.28171,261.5705194,230.3792507,245.4822969,244.0290559,4/9/2021,245.203335
281,234.34048,257.0401183,234.4404788,245.7981637,245.6016135,4/12/2021,245.203335
282,238.98854,247.2941431,239.090767,244.7869354,243.4311697,4/13/2021,242.88333
283,242.82756,240.6864759,242.9316817,241.1570119,241.7080614,4/14/2021,241.53334
284,245.34117,237.125388,245.4466258,240.9743243,240.0290212,4/15/2021,240.9775025
285,246.77989,233.7043974,246.8862218,240.1221161,240.6656433,4/16/2021,239.93333
286,247.28851,239.4862282,247.3958346,243.6035614,242.133259,4/19/2021,243.13333
287,247.10452,237.111762,247.2120216,244.0700447,242.6905768,4/20/2021,241.8349975
288,246.23964,234.2171476,246.3470183,237.907543,240.9458667,4/21/2021,239.93333
289,244.5101,231.1219246,244.6169807,237.733744,237.3520943,4/22/2021,237.504165
290,241.65547,227.8763904,241.761355,234.6102314,235.3997715,4/23/2021,234.45
291,238.04047,227.979653,238.1455091,233.1497008,233.6908671,4/26/2021,232.7425
292,234.16602,226.0992826,234.2695925,231.0469618,230.8196726,4/27/2021,229.886665
293,230.55309,223.9508891,230.6553042,226.8077751,227.9185057,4/28/2021,227.02
294,227.48447,226.5987349,227.5855618,226.7389193,226.8373484,4/29/2021,226.83333
295,225.86783,225.3188671,225.9684403,225.5368607,225.7946798,4/30/2021,225.3866675
296,224.65675,223.0493101,224.7575278,223.8854936,224.0084171,5/3/2021,223.64667
297,223.39708,220.3860356,223.4975213,222.1139389,221.0896353,5/4/2021,221.68333
298,221.5097,210.1351901,221.6095285,215.8922767,214.2144277,5/5/2021,215.55
299,218.79254,193.8082817,218.8913687,205.8950748,205.6942431,5/6/2021,205.73334
300,215.08896,186.2422053,215.186337,199.7700147,200.9134215,5/7/2021,199.9633325
301,210.64172,183.7933325,210.7377465,196.4296798,197.4562391,5/10/2021,196.58
302,205.97357,184.3935176,206.0676811,194.9532767,195.3975855,5/11/2021,194.70667
